type_ownership;cod_building;Nome Edificio;Descrizione Edificio;Indirizzo;city;type_property
EDI;IT061022000197;abitazione;PARCO SCHIAVONE;via Giulia - Centurano;061022;Proprietà
EDI;IT061022000198;negozio;LOCALE COMMERCIALE ;Via TuratiI n.56;061022;Proprietà
EDI;IT061022000199;negozio;LOCALE COMMERCIALE ;Via Turati  N. 52 54;061022;Proprietà
EDI;IT061022000200;ufficio;LOCALI EX MERCATO ORT.;Via Delle Ville;061022;Proprietà
EDI;IT061022000201;ufficio;UFFICIO;P.zza Matteotti N.26;061022;Proprietà
EDI;IT061022000202;negozio;LOCALE COMMERCIALE ;Via Turati N.44;061022;Proprietà
EDI;IT061022000203;ufficio;UFFICIO;P.zza  Ruggiero -.1° piano;061022;Proprietà
EDI;IT061022000204;ufficio;UFFICI;Via Santagata;061022;Proprietà
EDI;IT061022000205;ufficio;POLIFUNZIONALE;S. Benedetto - Corpo A;061022;Proprietà
EDI;IT061022000206;circolo;POLIFUNZIONALE;S. Benedetto - Corpo B;061022;Proprietà
EDI;IT061022000207;palestra;POLIFUNZIONALE;S. Benedetto - Corpo C;061022;Proprietà
EDI;IT061022000208;circolo;CIVILE ABITAZIONE;Via Don Gangi P.co Cerasole;061022;Proprietà
EDI;IT061022000209;ufficio;EX SCUOLA ELEMENTARE;Via Martiri di Bellona;061022;Proprietà
EDI;IT061022000210;ufficio;EX SCUOLA MAT. - Corpo A;P.co Primavera;061022;Proprietà
EDI;IT061022000211;ufficio;EX SCUOLA MAT. - Corpo B;P.co Primavera;061022;Proprietà
EDI;IT061022000212;ufficio;EX GASOMETRO;Via D. Mondo n.7;061022;Proprietà
EDI;IT061022000213;loc.+area scoperta;EX GASOMETRO;Via D. Mondo n.7;061022;Proprietà
EDI;IT061022000214;Rett.+Consultorio;EX ONMI;V.le Beneduce;061022;Proprietà
EDI;IT061022000215;Ozanam - Bic;EX SAINT GOBAIN ;V.le Lamberti;061022;Proprietà
EDI;IT061022000216;ex scuola;EX SCUOLA MEDIA;Via Caruso - Centurano;061022;Proprietà
