type_ownership;cod_building;Nome Edificio;Descrizione Edificio;Indirizzo;city;type_property
TER;IT061022000261;immobile PDT-21;TERRENO;Ercole;061022;Proprietà
TER;IT061022000262;immobile PDT-22;TERRENO;Casola;061022;Proprietà
TER;IT061022000263;immobile PDT-23;TERRENO ;Pozzovetere;061022;Proprietà
TER;IT061022000264;immobile PDT-24;TERRENO LOC. RAPUGLIANO;Casola;061022;Proprietà
TER;IT061022000265;immobile PDT-25;TERRENO LOC. REPELLERO;Garzano ;061022;Proprietà
TER;IT061022000266;immobile PDT-26;TERRENO;P.zza Pitesti;061022;Proprietà
TER;IT061022000267;immobile PDT-27;TERRENO BERSAGLIO;S.Clemente;061022;Proprietà
TER;IT061022000268;immobile PDT-28;TERRENO + MANUFATTO;Via Madonelle S. Barbara;061022;Proprietà
TER;IT061022000269;immobile PDT-29;TERRENO EX S. ANTIDA;Tredici  ;061022;Proprietà
TER;IT061022000270;immobile PDT-30;TERRENO LE BOTTEGGHELLE;Casolla;061022;Proprietà
TER;IT061022000271;immobile PDT-31;TERRENO (SLARGO);S.Leucio;061022;Proprietà
TER;IT061022000272;immobile PDT-32;TERRENO;Via Fleming;061022;Proprietà
TER;IT061022000273;immobile PDT-33;TERRENI EX CAVE ;Via Com. Casertavecchia;061022;Proprietà
TER;IT061022000274;immobile PDT-34;TERRENO;Com.Capua - loc Monte Rocca;061022;Proprietà
TER;IT061022000275;immobile PDT-35;TERRENO ;Com.Capua -loc Monte Rocca ;061022;Proprietà
TER;IT061022000276;immobile PDT-36;TERRRENO;S. Leucio;061022;Proprietà
TER;IT061022000277;immobile PDT-37;TERRENO CASERTAVECCHIA;Loc. S.Rocco- Teglia;061022;Proprietà
TER;IT061022000278;immobile PDT-38;TERRENO EX S. GOBAIN;Caserta;061022;Proprietà
TER;IT061022000279;immobile PDT-39;TERRENO LOC. LO UTTARO ;Caserta;061022;Proprietà
TER;IT061022000280;immobile PDT-40;TERRENO LOC. LO UTTARO ;Caserta;061022;Proprietà
TER;IT061022000281;immobile PDT-41;TERRENO LOC. LO UTTARO ;Caserta;061022;Proprietà
TER;IT061022000282;immobile PDT-42;TERRENO LOC. LO UTTARO ;Caserta;061022;Proprietà
TER;IT061022000283;immobile PDT-43;TERRENO LOC. LO UTTARO ;Caserta;061022;Proprietà
TER;IT061022000284;immobile PDT-44;TERRENO LOC. LO UTTARO ;Caserta;061022;Proprietà
TER;IT061022000285;immobile PDT-45;TERRENO LOC. LO UTTARO ;Caserta;061022;Proprietà
TER;IT061022000286;immobile PDT-46;TERRENO LOC. LO UTTARO ;Caserta;061022;Proprietà
TER;IT061022000287;immobile PDT-47;TERRENO ;Loc.Monte Rocca;061022;Proprietà
TER;IT061022000288;immobile PDT-48;TERRENO;Loc.Monte Rocca - Caserta;061022;Proprietà
TER;IT061022000289;immobile PDT-49;TERRENO;Loc.Monte Rocca - Caserta;061022;Proprietà
TER;IT061022000290;immobile PDT-50;TERRENO;Loc.Monte Rocca - Caserta;061022;Proprietà
TER;IT061022000291;immobile PDT-51;TERRENO;Loc.Monte Rocca - Caserta;061022;Proprietà
TER;IT061022000292;immobile PDT-52;TERRENO;Loc.Monte Rocca - Caserta;061022;Proprietà
TER;IT061022000293;immobile PDT-53;TERRENO;Via Nazionale Appia ;061022;Proprietà
TER;IT061022000294;immobile PDT-54;TERRENO;V.le delle Querce;061022;Proprietà
TER;IT061022000295;immobile PDT-55;TERRENO;Via dei Ginepri;061022;Proprietà
TER;IT061022000296;immobile PDT-56;TERRENO;Via Giaquinto Casolla;061022;Proprietà
TER;IT061022000297;immobile PDT-57;AREA;Via Einaudi;061022;Proprietà
TER;IT061022000298;immobile PDT-58;AREE;Via Petrarelle ang.via Madonn;061022;Proprietà
TER;IT061022000299;immobile PDT-59;AREA;Via Dei Ginepri;061022;Proprietà
TER;IT061022000300;immobile PDT-60;TERRENO;Via Dei Ginepri;061022;Proprietà
TER;IT061022000301;immobile PDT-61;AREA;P.zza Pitesti;061022;Proprietà
TER;IT061022000302;immobile PDT-62;EX TRATTO FERROVIARIO;Via sud Piazza D'Armi;061022;Proprietà
TER;IT061022000303;immobile PDT-63;EX CASERMA BRIGNOLA;V,le Carlo III;061022;Proprietà
TER;IT061022000304;immobile PDT-64;EX CASERMA ANDOLFATO;Via Patturelli - V.le Beneduce;061022;Proprietà
TER;IT061022000305;immobile PDT-65;EX CASERMA SANDUIA;Via Ponteselice;061022;Proprietà
TER;IT061022000306;immobile PDT-66;TERRENO ;Tredici;061022;Proprietà
TER;IT061022000307;immobile PDT-67;AREA VERDE;Via Grassi (Ad. Ex Deleg.);061022;Proprietà
TER;IT061022000308;immobile PDT-68;TERRENO ;P.zza Pitesti;061022;Proprietà
