type_ownership;cod_building;Nome Edificio;Descrizione Edificio;Indirizzo;id_building;city;type_property
EDI;IT042023000050;Campi da tennis MOIE;Campi da tennis MOIE;Via Togliatti;2233669;042023;Proprietà
EDI;IT042023000051;Magazzino sotto tribuna campo Pierucci;Magazzino sotto tribuna campo Pierucci;;2233670;042023;Proprietà
EDI;IT042023000052;Magazzino sotto tribuna campo Pierucci;Magazzino sotto tribuna campo Pierucci;;2233671;042023;Proprietà
EDI;IT042023000053;Magazzino sotto tribuna campo Pierucci;Magazzino sotto tribuna campo Pierucci;;2233672;042023;Proprietà
EDI;IT042023000054;Magazzino sotto tribuna campo Pierucci;Magazzino sotto tribuna campo Pierucci;;2233673;042023;Proprietà
EDI;IT042023000055;Campo sportivo Pierucci Tribuna Spogliatoi;Campo sportivo Pierucci Tribuna Spogliatoi;;2233674;042023;Proprietà
EDI;IT042023000056;Bocciodromo Moie;Bocciodromo Moie;Via Togliatti ;2233675;042023;Proprietà
EDI;IT042023000057;AREA EQUESTRE;AREA EQUESTRE;Via Pianello, 1;2233676;042023;Proprietà
EDI;IT042023000058;Area equestre  Club house;Area equestre  Club house;Via Pianello, 1;2233677;042023;Proprietà
EDI;IT042023000059;Area equestre  Box ;Area equestre  Box ;Via Pianello, 1 ;2233678;042023;Proprietà
EDI;IT042023000060;ASILO NIDO;ASILO NIDO;Via Torino, 9;2233679;042023;Proprietà
EDI;IT042023000061;CAMPUS SCOLASTICO;CAMPUS SCOLASTICO;Via Venezia, 14;2233680;042023;Proprietà
EDI;IT042023000062;SCUOLA DELL'INFANZIA;SCUOLA DELL'INFANZIA;Via Torino, 7;2233681;042023;Proprietà
EDI;IT042023000063;Distretto sanitario  di Moie;Distretto sanitario  di Moie;Via Trieste, 80/c;2233682;042023;Proprietà
EDI;IT042023000064;Locali piano primo Multiservizi;Locali piano primo Multiservizi;Via Ceccacci, 59;2233683;042023;Proprietà
EDI;IT042023000065;Locali piano terra Multiservizi;Locali piano terra Multiservizi;Via Ceccacci, 57;2233684;042023;Proprietà
EDI;IT042023000066;EX SCUOLA SECONDARIA ;EX SCUOLA SECONDARIA ;Via Gramsci, 10;2233685;042023;Proprietà
EDI;IT042023000067;FABBRICATO EX SORANA;FABBRICATO EX SORANA;Via Roma ;2233686;042023;Proprietà
EDI;IT042023000004;Delegazione di Moie;Delegazione di Moie;Via Fornace, 23 ;2233623;042023;Proprietà
EDI;IT042023000014;Circolo ricreativo Scisciano;Circolo ricreativo Scisciano;Scisciano - Via San Rocco, 39;2233633;042023;Proprietà
EDI;IT042023000044;Alloggio Scisciano;Alloggio Scisciano;Via Scisciano Nord, 12;2233663;042023;Proprietà
EDI;IT042023000045;Alloggio Scisciano;Alloggio Scisciano;Via Scisciano Nord, 12;2233664;042023;Proprietà
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
